transaction_id,transaction_date,product_id,customer_id,product_category,quantity,unit_price,total_amount,customer_region,customer_age,customer_loyalty_score,product_rating,previous_purchase_count,return_status
113,29/01/2023,2045,34145,home decor,10,68.72,687.2,Central,63,27,4,16,1
114,22/10/2023,2294,39570,home decor,1,38.37,38.37,East,23,91,4,22,0
115,31/12/2023,2792,36979,home decor,7,281.6,1971.2,North,43,86,2,18,0
116,13/04/2024,2818,32220,electronics,4,166.08,664.32,South,62,12,1,2,0
117,07/01/2024,2691,33560,toys,12,85.65,1027.8,Central,24,57,1,8,1
118,02/11/2023,2194,32444,toys,2,40.53,81.06,North,66,17,4,4,1
119,18/03/2023,2408,38221,home decor,8,164.87,1318.96,Central,33,11,3,5,1
120,22/12/2023,2718,34358,electronics,13,296.37,3852.81,North,31,80,1,11,0
121,31/10/2024,2759,35981,electronics,7,293.88,2057.16,North,38,98,5,7,1
122,19/10/2023,2278,34493,clothing,14,236.57,3311.98,South,26,13,4,23,0
123,05/08/2024,2185,31859,clothing,7,43.72,306.04,West,25,98,3,26,0
124,30/03/2023,2707,39654,electronics,12,54.06,648.72,South,50,54,1,20,0
125,21/08/2023,2336,35032,electronics,12,165.82,1989.84,Central,56,89,1,10,1
126,19/04/2023,2505,32825,toys,5,33.3,166.5,Central,32,34,2,14,0
127,22/10/2023,2962,37491,home decor,12,110.23,1322.76,South,69,37,1,28,1
128,18/10/2023,2813,39589,home decor,10,210.78,2107.8,West,49,69,3,3,0
129,23/01/2023,2503,38435,clothing,4,104.74,418.96,North,67,30,3,14,0
130,21/03/2023,2311,30200,toys,1,177.05,177.05,East,18,83,1,3,0
131,16/08/2024,2041,38130,electronics,5,187.6,938,North,29,49,1,6,1
132,11/06/2023,2087,31051,toys,3,250.26,750.78,South,27,74,2,29,0
133,08/03/2024,2607,33170,toys,14,285.65,3999.1,North,69,38,4,27,1
134,17/03/2023,2656,31475,clothing,6,151.16,906.96,South,66,3,2,14,1
135,13/12/2024,2345,37860,electronics,12,210.91,2530.92,West,36,99,5,27,0
136,05/02/2024,2090,35174,clothing,6,119.05,714.3,East,55,0,1,18,1
137,10/12/2024,2162,38753,home decor,10,110.79,1107.9,South,51,2,5,11,0
138,29/01/2024,2713,38131,clothing,11,238.55,2624.05,Central,24,99,5,21,1
139,17/08/2023,2548,33323,clothing,7,171.65,1201.55,South,49,33,2,2,1
140,24/09/2024,2199,39575,home decor,4,257.05,1028.2,North,57,26,3,18,0
141,15/01/2023,2781,36139,clothing,1,86.2,86.2,East,47,37,3,10,1
142,30/05/2023,2259,32549,toys,13,195.64,2543.32,East,30,13,5,23,1
143,17/10/2023,2726,33069,toys,6,205.4,1232.4,North,56,6,1,18,1
144,13/11/2024,2513,33526,toys,6,160.33,961.98,West,63,46,1,12,0
145,25/01/2023,2331,35576,home decor,10,245.29,2452.9,West,59,86,3,7,1
146,27/01/2024,2882,33370,home decor,1,6.04,6.04,North,30,81,5,13,1
147,11/08/2023,2033,34960,clothing,9,24,216,Central,50,70,1,24,0
148,03/03/2024,2214,38597,clothing,5,8.88,44.4,Central,54,90,5,26,0
149,02/03/2023,2159,39030,toys,13,129.81,1687.53,Central,30,72,1,7,1
150,06/05/2024,2265,31758,home decor,13,107.43,1396.59,East,63,1,3,3,1
151,09/08/2024,2534,36161,clothing,5,165,825,East,43,96,4,27,1
152,06/05/2023,2939,34737,electronics,14,223.27,3125.78,East,62,25,5,6,1
153,04/09/2023,2964,32337,toys,10,228.66,2286.6,South,59,63,4,10,0
154,29/09/2023,2296,39241,home decor,10,129.55,1295.5,North,24,49,3,18,1
155,14/11/2024,2006,33730,toys,10,78.47,784.7,East,56,98,2,11,1
156,02/08/2024,2204,31547,toys,10,216.92,2169.2,West,62,59,3,11,0
157,13/08/2024,2838,38338,clothing,13,149.07,1937.91,Central,37,20,4,0,1
158,10/06/2024,2434,38189,electronics,3,35.19,105.57,South,28,59,2,28,1
159,02/08/2024,2641,33176,toys,13,35.2,457.6,West,67,49,1,6,1
160,30/11/2023,2931,36395,clothing,2,278.87,557.74,North,18,33,2,9,1
161,20/10/2024,2833,39094,toys,5,175.59,877.95,East,33,8,5,15,1
162,06/12/2024,2160,34408,electronics,5,237.69,1188.45,North,49,69,1,12,0
163,12/11/2024,2514,36019,electronics,4,17.54,70.16,Central,34,11,3,22,0
164,27/05/2023,2546,33360,electronics,3,109.45,328.35,Central,53,94,1,6,0
165,28/10/2024,2851,32030,electronics,14,95.4,1335.6,South,56,57,2,22,0
166,28/01/2023,2053,34239,clothing,8,125.72,1005.76,West,37,97,2,23,0
167,05/04/2024,2453,35030,electronics,11,249.6,2745.6,East,38,84,3,8,1
168,22/05/2023,2837,33188,clothing,6,36.72,220.32,West,63,26,3,8,0
169,24/04/2023,2511,30411,home decor,13,223.08,2900.04,South,69,70,1,0,1
170,03/11/2024,2788,34497,home decor,9,138.36,1245.24,North,48,77,2,24,0
171,18/11/2024,2709,33651,home decor,13,215.71,2804.23,Central,65,0,1,10,0
172,29/03/2024,2236,38294,electronics,3,18.3,54.9,Central,54,4,5,8,0
173,01/07/2024,2336,35070,home decor,1,136.37,136.37,Central,51,39,4,2,1
174,26/02/2024,2669,32339,home decor,5,270.6,1353,West,37,65,5,12,1
175,22/10/2024,2332,39982,clothing,7,155.66,1089.62,South,33,1,2,11,1
176,11/10/2023,2774,35089,electronics,2,214.89,429.78,South,69,31,4,29,0
177,21/09/2023,2434,32954,clothing,6,50.49,302.94,North,35,52,5,16,0
178,25/03/2023,2185,34549,electronics,1,184.96,184.96,Central,24,14,5,26,1
179,27/12/2024,2968,33009,toys,9,101.41,912.69,East,32,40,5,12,0
180,28/05/2023,2328,36577,clothing,4,258.46,1033.84,East,40,78,4,10,0
181,29/05/2024,2543,36724,toys,10,36.95,369.5,West,52,80,1,29,0
182,27/05/2024,2402,39926,toys,6,6.23,37.38,East,43,54,1,20,1
183,15/03/2023,2673,34056,clothing,9,165.14,1486.26,North,67,64,3,11,1
184,24/09/2024,2441,39295,electronics,1,135.76,135.76,Central,44,73,4,15,0
185,29/07/2024,2220,39450,electronics,9,283.96,2555.64,North,45,81,2,28,1
186,26/10/2024,2649,30545,clothing,2,51.83,103.66,South,65,65,5,17,1
187,02/09/2024,2370,34607,clothing,11,74.77,822.47,West,37,65,5,23,1
188,28/07/2024,2113,34895,electronics,8,175.5,1404,East,62,49,1,13,0
189,10/04/2024,2068,31368,electronics,1,12.59,12.59,West,39,97,5,5,1
190,22/02/2024,2446,38192,toys,7,176.34,1234.38,North,22,83,4,12,1
191,17/11/2023,2686,37717,electronics,7,165.73,1160.11,Central,68,27,5,2,1
192,16/09/2023,2195,35428,electronics,8,171.55,1372.4,Central,50,49,3,27,1
193,18/12/2024,2036,38045,clothing,7,147.98,1035.86,East,33,58,4,11,1
194,05/11/2024,2523,34637,home decor,10,22.49,224.9,North,58,69,3,16,0
195,26/11/2024,2400,35080,home decor,13,220.07,2860.91,Central,32,34,5,3,1
196,14/09/2024,2833,31206,clothing,11,275.56,3031.16,Central,36,64,3,6,1
197,15/07/2024,2494,38889,clothing,8,196.91,1575.28,West,67,4,5,1,1
198,26/07/2023,2424,37554,home decor,6,146.39,878.34,East,52,62,2,23,1
199,27/06/2024,2136,33427,toys,14,255.87,3582.18,Central,42,96,3,1,1
200,07/10/2024,2767,37561,clothing,14,89.92,1258.88,South,44,8,2,29,1
201,23/05/2023,2987,38452,electronics,14,99.7,1395.8,North,19,62,4,18,0
202,07/01/2024,2599,35487,electronics,5,252.21,1261.05,East,60,42,4,13,0
203,05/12/2023,2317,38524,toys,2,290.04,580.08,Central,43,59,5,0,0
204,25/07/2024,2910,34524,toys,3,130.93,392.79,East,32,21,3,3,1
205,04/11/2024,2064,30296,toys,13,133.1,1730.3,Central,44,29,3,14,1
206,27/10/2024,2406,31831,toys,6,156.13,936.78,North,23,67,4,13,1
207,19/08/2024,2217,30526,electronics,12,172.1,2065.2,South,20,99,4,18,1
208,31/03/2023,2550,32950,home decor,8,235.11,1880.88,West,32,64,1,4,1
209,13/03/2024,2411,33887,home decor,7,239.64,1677.48,North,52,89,2,27,1
210,04/03/2023,2830,36622,electronics,1,287.16,287.16,East,63,52,1,23,0
211,25/08/2023,2958,39882,toys,6,231.97,1391.82,North,31,48,3,14,1
212,18/07/2024,2146,32195,toys,8,129.73,1037.84,East,27,6,5,12,1
213,28/01/2023,2674,30731,clothing,13,72.99,948.87,East,32,6,5,22,0
214,29/06/2024,2824,37848,toys,9,167.5,1507.5,Central,27,76,5,10,1
215,19/12/2023,2631,30604,home decor,10,44.76,447.6,North,33,20,1,11,1
216,28/05/2024,2049,33905,electronics,3,153.47,460.41,North,55,7,1,19,0
217,28/01/2024,2384,30533,electronics,13,171.79,2233.27,North,29,32,1,23,0
218,02/02/2023,2571,32397,clothing,9,153.88,1384.92,South,29,35,4,5,1
219,16/01/2023,2413,35386,home decor,7,247.74,1734.18,West,61,33,1,26,1
220,26/07/2023,2624,38410,home decor,7,140.08,980.56,South,69,54,2,25,1
221,17/07/2023,2481,36461,home decor,12,23.12,277.44,Central,39,30,1,27,1
222,19/05/2024,2662,34829,clothing,3,278.83,836.49,South,19,56,4,29,1
223,25/09/2023,2634,30208,clothing,2,76.48,152.96,South,60,97,4,18,1
224,19/06/2023,2551,31128,home decor,6,283.96,1703.76,South,36,18,4,25,1
225,28/04/2023,2160,31347,electronics,8,254,2032,West,37,97,4,12,1
226,15/04/2023,2799,34233,toys,6,107.73,646.38,East,49,9,4,9,1
227,30/07/2023,2306,36622,electronics,10,282.14,2821.4,South,36,25,3,12,1
228,14/08/2023,2912,34714,electronics,5,6.76,33.8,Central,65,27,4,23,0
229,11/06/2024,2386,32691,toys,2,13.31,26.62,Central,67,31,5,9,1
230,13/03/2023,2768,32886,toys,2,207.31,414.62,East,45,18,5,14,0
231,02/07/2023,2212,36824,toys,13,253.86,3300.18,East,53,88,4,19,0
232,11/02/2023,2512,38694,home decor,13,285.79,3715.27,North,21,83,3,25,0
233,30/01/2023,2823,31313,toys,3,147.6,442.8,East,47,63,5,26,1
234,15/10/2023,2057,38725,toys,7,248.56,1739.92,South,41,50,2,11,0
235,14/04/2023,2077,35247,electronics,9,292.37,2631.33,North,49,2,5,11,0
236,14/04/2023,2603,39702,electronics,12,78.67,944.04,Central,46,1,1,4,0
237,22/11/2024,2060,33329,home decor,7,148.16,1037.12,South,43,73,5,22,1
238,01/04/2024,2398,36953,home decor,7,124.21,869.47,West,48,19,1,22,0
239,27/05/2023,2761,33559,home decor,9,238.17,2143.53,West,38,2,1,25,1
240,08/01/2023,2263,33271,toys,3,273.68,821.04,South,66,79,1,8,1
241,13/03/2023,2816,39167,toys,4,273.48,1093.92,East,56,19,1,1,1
242,22/07/2023,2785,33328,clothing,10,282.86,2828.6,West,69,75,5,10,1
243,11/09/2024,2419,32186,clothing,1,168.2,168.2,East,49,22,1,21,0
244,07/09/2024,2133,32170,home decor,7,137.14,959.98,Central,25,16,2,11,0
245,25/10/2024,2182,39457,electronics,9,160.99,1448.91,West,60,60,5,16,0
246,01/05/2023,2643,39814,clothing,11,230.57,2536.27,West,18,66,5,29,1
247,31/12/2023,2662,33736,clothing,4,294.34,1177.36,North,27,99,3,21,0
248,28/05/2023,2967,30444,clothing,14,288.71,4041.94,South,26,88,1,26,1
249,27/02/2024,2794,38221,clothing,3,72.66,217.98,East,61,69,4,3,1
250,18/08/2024,2109,33227,home decor,3,197.56,592.68,Central,50,28,1,24,1
251,07/06/2023,2355,39867,home decor,3,281.3,843.9,South,26,99,3,19,0
252,13/04/2023,2696,33868,toys,10,142.77,1427.7,East,68,80,2,0,1
253,23/02/2023,2440,35007,electronics,1,7.85,7.85,South,24,6,1,13,0
254,11/06/2023,2784,38800,home decor,14,64.23,899.22,Central,21,91,1,0,0
255,15/07/2024,2022,32996,toys,6,133.87,803.22,East,20,25,1,1,1
256,24/12/2023,2549,30922,electronics,10,187.49,1874.9,Central,52,89,4,1,1
257,13/01/2024,2384,39837,clothing,10,52.55,525.5,South,39,7,2,6,1
258,20/07/2024,2683,37760,home decor,9,279.26,2513.34,North,26,10,4,20,1
259,13/12/2023,2130,32677,home decor,12,183.92,2207.04,North,40,77,5,3,1
260,24/02/2024,2356,35509,electronics,12,119.93,1439.16,Central,40,30,4,13,0
261,01/08/2024,2686,38794,clothing,3,298.58,895.74,North,56,30,4,22,0
262,16/03/2024,2577,39469,electronics,3,223.47,670.41,West,21,81,1,23,1
263,23/07/2023,2905,34210,home decor,1,260.83,260.83,North,63,20,2,18,0
264,24/12/2023,2407,33205,home decor,6,115.2,691.2,East,19,80,5,27,0
265,10/02/2024,2456,32060,toys,8,273.02,2184.16,West,68,78,3,27,0
266,02/03/2024,2898,32822,toys,1,48.71,48.71,North,58,45,3,14,1
267,13/05/2023,2654,33623,clothing,5,177.62,888.1,West,65,44,5,17,0
268,10/03/2023,2013,31711,toys,12,184.55,2214.6,West,59,78,5,6,0
269,28/05/2024,2552,31916,home decor,14,108.02,1512.28,Central,34,99,1,28,0
270,12/10/2024,2272,37860,home decor,12,221.64,2659.68,West,50,55,1,25,1
271,30/10/2023,2237,32793,home decor,6,264.39,1586.34,South,41,56,3,22,1
272,09/09/2023,2172,34278,clothing,10,169.39,1693.9,South,28,26,5,24,0
273,01/01/2023,2057,31790,electronics,8,111.75,894,East,69,94,3,6,1
274,13/02/2024,2725,35315,electronics,12,219.42,2633.04,East,39,8,5,0,1
275,16/08/2024,2827,35228,clothing,9,132,1188,East,31,81,5,9,1
276,13/07/2023,2628,34265,home decor,12,116.59,1399.08,West,22,7,1,11,1
277,09/07/2024,2581,37389,toys,10,155.23,1552.3,East,65,32,2,4,1
278,24/08/2023,2535,35652,home decor,5,252.2,1261,East,35,25,4,3,1
279,25/03/2024,2532,35989,electronics,3,254.83,764.49,East,47,6,2,18,1
280,09/06/2023,2281,35818,home decor,8,210.27,1682.16,Central,64,64,4,3,1
281,13/04/2023,2878,36348,toys,6,281.33,1687.98,North,37,79,5,25,1
282,11/12/2024,2654,35247,clothing,11,96.28,1059.08,South,37,27,3,29,1
283,15/12/2023,2018,36492,toys,1,104.12,104.12,East,56,54,1,21,0
284,28/01/2023,2004,38729,electronics,9,52.97,476.73,West,65,36,2,9,1
285,06/04/2024,2353,30952,electronics,12,118.13,1417.56,North,27,59,1,18,1
286,12/08/2024,2322,36933,clothing,14,191.18,2676.52,South,63,87,2,16,0
287,28/10/2024,2519,30698,toys,11,247.19,2719.09,West,40,56,2,28,0
288,30/01/2024,2816,35944,toys,8,217.03,1736.24,South,60,45,2,17,0
289,27/09/2023,2886,37500,electronics,10,18.37,183.7,South,37,99,4,0,1
290,18/03/2023,2753,38802,clothing,4,157.64,630.56,East,66,14,5,14,0
291,26/10/2024,2754,35707,clothing,12,68.12,817.44,Central,29,42,4,10,1
292,03/02/2023,2690,32241,electronics,2,116.06,232.12,West,34,100,4,23,1
293,10/04/2024,2979,38005,electronics,8,227,1816,North,48,65,3,9,1
294,17/03/2024,2980,35610,toys,7,127.43,892.01,North,52,99,3,6,0
295,29/07/2023,2994,39387,clothing,7,293.16,2052.12,Central,63,85,3,5,1
296,20/04/2023,2106,36034,toys,4,38.89,155.56,North,41,23,5,11,0
297,26/11/2024,2400,39247,home decor,12,123.22,1478.64,North,59,31,3,15,0
298,08/02/2024,2648,39221,clothing,3,194.35,583.05,West,56,21,4,11,0
299,31/07/2023,2615,39134,home decor,9,53.83,484.47,South,20,10,3,25,1
300,01/05/2024,2171,31844,home decor,13,190.64,2478.32,West,66,60,4,16,0
301,19/01/2024,2944,33388,clothing,9,95.38,858.42,South,26,52,4,7,1
302,03/08/2024,2545,39513,home decor,2,265.29,530.58,East,32,78,3,22,0
303,16/11/2024,2663,34229,electronics,11,78.47,863.17,North,60,74,4,19,1
304,10/10/2024,2156,37458,clothing,7,103.59,725.13,East,29,19,5,11,0
305,09/04/2024,2990,33378,toys,7,134.77,943.39,North,40,51,1,5,0
306,30/03/2023,2972,30885,toys,10,110.09,1100.9,Central,52,66,4,6,0
307,16/07/2023,2639,30335,toys,12,273.58,3282.96,Central,65,96,4,23,1
308,12/09/2023,2767,32818,toys,5,23.37,116.85,South,41,81,1,23,0
309,29/01/2023,2665,39321,toys,10,118.43,1184.3,East,45,92,1,11,0
310,10/08/2024,2194,37752,home decor,5,174.84,874.2,South,27,10,5,26,1
311,14/07/2024,2863,35147,home decor,13,10.98,142.74,South,21,59,1,24,1
312,12/04/2023,2412,34921,home decor,7,285.99,2001.93,East,38,81,2,16,0
313,11/12/2024,2879,30693,clothing,5,196.15,980.75,North,36,6,3,29,0
314,10/06/2024,2813,33456,toys,12,13.49,161.88,West,26,19,3,21,1
315,21/02/2023,2833,32367,toys,12,281.48,3377.76,East,21,83,4,7,1
316,02/12/2023,2522,35960,electronics,1,170.82,170.82,North,35,84,1,11,1
317,05/02/2024,2628,35922,home decor,11,140.65,1547.15,West,43,1,4,28,1
318,11/10/2024,2537,35702,electronics,4,203.11,812.44,West,52,16,4,6,0
319,15/10/2024,2843,32867,clothing,1,161.38,161.38,Central,55,89,5,22,0
320,20/05/2023,2750,37646,toys,11,176.03,1936.33,Central,24,3,4,20,1
321,25/11/2023,2425,32995,home decor,4,156.49,625.96,South,30,23,3,10,0
322,31/10/2024,2960,36053,home decor,2,187.33,374.66,East,35,16,4,22,0
323,27/04/2023,2962,31843,home decor,9,41.92,377.28,North,66,30,5,14,1
324,16/01/2023,2907,36025,home decor,9,100.76,906.84,Central,43,78,4,18,0
325,02/11/2023,2212,35110,clothing,13,102.66,1334.58,South,45,77,2,4,1
326,26/06/2024,2950,31870,home decor,1,150.09,150.09,North,25,25,2,7,0
327,16/06/2024,2355,32962,clothing,11,268.84,2957.24,Central,60,44,2,24,0
328,10/01/2024,2234,31248,electronics,1,119.56,119.56,South,39,25,1,21,0
329,04/05/2023,2975,33023,home decor,6,186.09,1116.54,South,66,32,4,12,1
330,09/09/2023,2630,36603,toys,1,114.51,114.51,Central,65,40,3,15,1
331,26/04/2024,2254,35783,toys,3,237.55,712.65,North,25,34,4,15,1
332,18/08/2023,2577,35975,home decor,13,140.63,1828.19,North,19,62,3,27,1
333,19/05/2024,2210,31171,electronics,3,15.32,45.96,East,19,56,1,0,1
334,23/10/2024,2845,39488,toys,9,290.46,2614.14,Central,57,56,4,26,0
335,29/12/2023,2732,30657,clothing,8,169.98,1359.84,South,35,86,3,2,1
